pta_id,agreement_name,year,total_words,n_articles,n_chapters,hard_p1k_mean,soft_p1k_mean,enf_p1k_mean,oblig_ratio,total_words_norm,n_articles_norm,hard_p1k_mean_norm,enf_p1k_mean_norm,CCI_pilot
68,EU - Former Yugoslav Republic of Macedonia,2001,6319.0,51.0,7.0,21.83889855989872,6.804874188953948,3.32331065041937,2.740538110058604,0.03864697540898558,0.09861932938856016,0.6783998276053644,0.10777225439729084,0.23085959670005027
69,New Zealand - Singapore,2000,16210.0,86.0,13.0,18.38371375694016,7.711289327575571,9.623689080814312,2.0526341764342995,0.10706602566319648,0.16765285996055226,0.5710685550028219,0.3120883892473517,0.28946895746848056
70,EFTA - Mexico,2000,14571.0,81.0,10.0,19.28488092787043,11.255232997048934,14.823965410747375,1.6587502425056473,0.09572856500536091,0.15779092702169625,0.599062258610443,0.4807291100583999,0.333327715173975
72,Israel - Mexico,2000,28008.0,112.0,14.0,17.245072836332476,9.033133390459868,9.604398743216224,1.7695137790429893,0.1886763739494345,0.21893491124260356,0.5356980072562854,0.3114628193293639,0.31369302794442183
73,Georgia - Armenia,1995,1599.0,23.0,3.0,1.2507817385866167,10.006253908692933,3.1269543464665417,0.04982280592036689,0.005997302251582333,0.04339250493096647,0.03885407102843532,0.10140457957897507,0.0474121144474898
74,Georgia - Azerbaijan,1996,1651.0,20.0,3.0,0.0,7.874015748031496,4.239854633555421,0.0,0.006357002040604572,0.03747534516765286,0.0,0.13749502837401187,0.045331843895567325
75,Georgia - Kazakhstan,1997,1985.0,18.0,3.0,1.0075566750629723,8.060453400503778,2.5188916876574305,0.027808564231738036,0.008667381454708955,0.03353057199211045,0.03129856905514765,0.08168560339888217,0.03879553147521231
76,Georgia - Russian Federation,1994,1824.0,24.0,3.0,1.0964912280701755,9.868421052631579,3.837719298245614,0.03673245614035088,0.007553695569467021,0.045364891518737675,0.03406121687196715,0.12445410737143288,0.05285847783290118
77,Georgia - Turkmenistan,1996,1655.0,17.0,3.0,0.0,6.646525679758308,4.229607250755287,0.0,0.006384671255144745,0.03155818540433925,0.0,0.13716271410603842,0.0437763926913806
78,Georgia - Ukraine,1995,1507.0,15.0,3.0,0.0,5.972130059721301,3.9814200398142003,0.0,0.0053609103171583725,0.027613412228796846,0.0,0.12911420523963993,0.04052213194639879
79,EFTA - Former Yugoslav Republic of Macedonia,2000,5704.0,43.0,3.0,20.511921458625526,10.168302945301543,7.187938288920056,1.4719202898550725,0.0343928336734341,0.08284023668639054,0.6371788367998567,0.2330989773007723,0.2468777211151134
80,Turkey - Former Yugoslav Republic of Macedonia,1999,3868.0,37.0,6.0,21.458117890382628,9.824198552223372,3.8779731127197516,1.2262150982419855,0.021692664199495035,0.07100591715976332,0.6665713217012476,0.12575950574983025,0.22125735220258402
81,Kyrgyz Republic - Armenia,1994,1750.0,21.0,3.0,13.714285714285714,4.571428571428571,3.4285714285714284,1.3832380952380952,0.007041815100473836,0.03944773175542406,0.4260182370820668,0.11118577559779277,0.14592338988393938
