pta_id,name,parties,n_parties,year,date_signed,date_into_force,status,type,notification,composition,region,crossregional,parties_wto,language,wto_rta_id
33,EFTA - Tunisia,"['CHE', 'ISL', 'LIE', 'NOR', 'TUN']",5,2004,2004-12-17,2005-06-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Africa,Yes,Yes,en,37.0
34,Japan - Mexico,"['JPN', 'MEX']",2,2004,2004-09-17,2005-04-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia; North America,Yes,Yes,en,38.0
35,Panama - Central America,"['CRI', 'GTM', 'HND', 'NIC', 'PAN', 'SLV']",6,2002,2002-03-06,2003-04-11,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Central America,No,Yes,es,39.0
36,Thailand - Australia,"['AUS', 'THA']",2,2004,2004-07-05,2005-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania; East Asia,Yes,Yes,en,40.0
37,US - Australia,"['AUS', 'USA']",2,2004,2004-05-18,2005-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania; North America,Yes,Yes,en,41.0
38,ASEAN - China,"['BRN', 'CHN', 'IDN', 'KHM', 'LAO', 'MMR', 'MYS', 'PHL', 'SGP', 'THA', 'VNM']",11,2004,2004-11-29,2005-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,Enabling Clause & GATS Art. V,Bilateral; One Party is an RTA,East Asia,No,Yes,en,42.0
39,EFTA - Chile,"['CHE', 'CHL', 'ISL', 'LIE', 'NOR']",5,2003,2003-06-26,2004-12-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,South America; Europe,Yes,Yes,en,43.0
40,EU - Egypt,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'EGY', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,2001,2001-06-25,2004-06-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Africa,Yes,Yes,en,44.0
41,Southern African Development Community (SADC),"['AGO', 'BWA', 'LSO', 'MOZ', 'MUS', 'MWI', 'NAM', 'SWZ', 'SYC', 'TZA', 'ZAF', 'ZMB', 'ZWE']",13,1996,1996-08-24,2000-09-01,In Force,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Africa,No,Yes,en,45.0
42,Armenia - Turkmenistan,"['ARM', 'TKM']",2,1995,1995-10-03,1996-07-07,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,No,en,47.0
